STEP;QUERY;TIME (ms);;
schema.cypher;indices;7;;
schema.cypher;indices;2;;
schema.cypher;indices;1;;
schema.cypher;indices;1;;
schema.cypher;indices;1;;
schema.cypher;indices;1;;
schema.cypher;TOTAL;13;;
;;;;
delete.cypher;delete nodes;563;;
delete.cypher;TOTAL;563;;
;;;;
graphSetting.cypher;dataset loading;1768;;
graphSetting.cypher;concepts name;7;;
graphSetting.cypher;concepts name;7;;
graphSetting.cypher;concepts name;7;;
graphSetting.cypher;concepts name;7;;37875
graphSetting.cypher;concepts name;7;;
graphSetting.cypher;concepts name;7;;
graphSetting.cypher;persons;12;;
graphSetting.cypher;dates;7;;
graphSetting.cypher;persons;27;;
graphSetting.cypher;TOTAL;1856;;
;;;;
constraints.cypher;Partial Temporal Consistency;1239;;
constraints.cypher;Partial Temporal Inconsistency;1523;;
constraints.cypher;Total Temporal Inconsistency;1085;;
constraints.cypher;C1;84;;
constraints.cypher;C1-1;55;;
constraints.cypher;C2;61;;
constraints.cypher;C2-1;11;;
constraints.cypher;C3;49;;
constraints.cypher;C4;1954;;
constraints.cypher;C4;1916;;
constraints.cypher;C5;1938;;
constraints.cypher;C6;3368;;
constraints.cypher;C7;2298;;
constraints.cypher;C8;16810;;
constraints.cypher;C14;175;;
constraints.cypher;C16;17;;
constraints.cypher;C17;15;;
constraints.cypher;C18;47;;
constraints.cypher;C19;10;;
constraints.cypher;C6;2778;;
constraints.cypher;TOTAL;35433;;
;;;;
stats.cypher;Nb triplets;48;;
stats.cypher;"Nb ""o""";11;;
stats.cypher;"Nb ""s""";11;;
stats.cypher;"nb ""p""";10;;
stats.cypher;"Nb ""p"" links distribution";17;;
stats.cypher;Nb conflicts distribution;601;;
stats.cypher;Nb temporal conflicts;360;;
stats.cypher;"Distribution of linked ""o""";15;;
results.cypher;mapping_Neo4j_wikidata;16;;
results.cypher;inferredNodes;24;;
results.cypher;tCon_noConflicts;7;;
results.cypher;tCon_conflicts;510;;
results.cypher;pCon_noConflicts;1412;;
results.cypher;pCon_conflicts;1257;;
results.cypher;pInc_noConflicts;1459;;
results.cypher;pInc_conflicts;1283;;
results.cypher;tInc_noConflicts;1475;;
results.cypher;tInc_conflicts;1297;;
